dates;prices;volume;open;high;low
23.02.2018;175.5000;33772050.0000;173.6700;175.6500;173.5400
26.02.2018;178.9700;37353670.0000;176.3500;179.3900;176.2100
27.02.2018;178.3900;38885510.0000;179.1000;180.4800;178.1600
28.02.2018;178.1200;37568080.0000;179.2600;180.6150;178.0500
01.03.2018;175.0000;48706170.0000;178.5400;179.7750;172.6600
02.03.2018;176.2100;38426060.0000;172.8000;176.3000;172.4500
05.03.2018;176.8200;27825140.0000;175.2100;177.7400;174.5200
06.03.2018;176.6700;23273160.0000;177.9100;178.2500;176.1300
07.03.2018;175.0300;31686450.0000;174.9400;175.8500;174.2700
08.03.2018;176.9400;24518850.0000;175.4800;177.1200;175.0700
09.03.2018;179.9800;32130360.0000;177.9600;180.0000;177.3900
12.03.2018;181.7200;32191070.0000;180.2900;182.3900;180.2100
13.03.2018;179.9700;31464170.0000;182.5900;183.5000;179.2400
14.03.2018;178.4400;29334630.0000;180.3200;180.5200;177.8100
15.03.2018;178.6500;22676520.0000;178.5000;180.2400;178.0701
16.03.2018;178.0200;38313330.0000;178.6500;179.1200;177.6200
19.03.2018;175.3000;32931110.0000;177.3200;177.4700;173.6600
20.03.2018;175.2400;19620520.0000;175.2400;176.8000;174.9400
21.03.2018;171.2700;36387880.0000;175.0400;175.0900;171.2600
22.03.2018;168.8500;41335980.0000;170.0000;172.6800;168.6000
23.03.2018;164.9400;40984540.0000;168.3900;169.9200;164.9400
